UUID	Subsection	Statement	Absolute Condition	Individual Condition	Audit Condition	Refs

E18F03B5-69F5-45AF-B2E8-F7A1CFE32E76	General	*Org chart*: The <role>Head of Human Resources</role> shall maintain an [Org Chart]({{ .ORG_CHART }}) showing staff position, roles, and primary managerial reports. The Org Chart is generated from the [Master Staff Log]({{ .MASTER_STAFF_LOG }}) and updated as the Master Staff Log is updated.	ALWAYS	ROLE_TAGGED('senior management') || (ROLE =~ /.*Compliance Agent/)|| (ROLE =~ /.*Human Resources.*/)	IS_FULL_AUDIT	SOC 2 Type I ref 1.2, SOC 2 Type II ref 1.2
4B38B0D7-59F7-4D6F-ADE0-482583864D6A	General	*Policy awareness*: All staff members are required to review and acknowledge awareness of all applicable policy and standard requirements as pertains to their role as part of the staff onboarding and annually thereafter.	GEN_SEC_LVL > SEC_TRIVIAL	ALWAYS	IS_FULL_AUDIT	PCI DSS v3.2.1 ref 1.5

7EA989FA-A122-4392-8F04-4FF12498754B	Onboarding	*Background checks*: By default, the Company does not perform background checks on candidates. The <role>Security Officer</role> shall make an independent assessment of the roles where a background check is indicated under Company Policy. This assessment shall be reviewed by the <role>Security Officer</role> quarterly and as required and annually be the <role>Senior Management Team</role>.	GEN_SEC_LVL > SEC_TRIVIAL	ROLE in ('Compliance', 'Human Resources', 'Chief')	IS_FULL_AUDIT	SOC 2 Type I ref 1.4, SOC 2 Type II ref 1.4
6A109801-07F0-43D9-AE63-32AF4CC1809A	Onboarding	*Criminal background checks*: Criminal background checks are performed on candidates whose role would give them control of significant corporate funds, corporate books, {{ if .HAS_SENSITIVE_DATA }}sensitive customer data, {{ end }}{{ if .HAS_CARDHOLDER_DATA }}any cardholder data, {{ end }}or whose duties fall under the scope of applicable regulations, compliance standards, or similar.	GEN_SEC_LVL > SEC_TRIVIAL	ROLE in ('Compliance', 'Human Resources', 'Chief')	IS_FULL_AUDIT	SOC 2 Type I ref 1.4, SOC 2 Type II ref 1.4
DA7DEAE2-12D6-4E5F-B06A-C4144D106BBB	Onboarding	*Credit checks*: A credit check is performed prior to hiring anyone whose roles would give them access to significant corporate funds or books.	GEN_SEC_LVL > SEC_TRIVIAL	ROLE in ('Compliance', 'Human Resources', 'Chief')	IS_FULL_AUDIT	SOC 2 Type I ref 1.4, SOC 2 Type II ref 1.4
D7895AF9-5128-4149-8B73-6BCBE41468F8	Onboarding	*Evaluating background checks*: Candidates who would be hired but for potential red flags must be given the opportunity to address any issues and the final risk analysis shall not be based on the results of any background checks alone.	GEN_SEC_LVL > SEC_TRIVIAL	ROLE in ('Compliance', 'Human Resources', 'Chief')	IS_FULL_AUDIT	SOC 2 Type I ref 1.4, SOC 2 Type II ref 1.4

5B9011B1-3F31-4C42-AC0F-D3C4E8A1DC8F	Audits	The [Master Staff Log]({{ .MASTER_STAFF_LOG }}) shall be audited monthly by a qualified Human Resources Agent and/or Compliance Agent.	TRACKS_STAFF	ROLE in ('Compliance Agent', 'Human Resources')	IS_FULL_AUDIT	-
8732C88C-B545-4254-8B20-B355A99A91E6	Audits	The [Staff Handbook]({{ .policy.staff.STAFF_HANDBOOK }}) shall be audited and updated according to best pratices annually by the <role>Head of Human Resources</role>, <role>Policy Officer</role>, <role>Compliance Officer</role>, and <role>Security Officer</role>.	ALWAYS	ROLE in ('Compliance', 'Human Resources', 'Security', 'Policy')	IS_FULL_AUDIT	SOC 2 Type I ref 1.7, SOC 2 Type II ref 1.7

9EA6D729-4A78-4FD3-BE34-3E5CE8BF92A9	Compliance	The Company shall engage {{ .HR_COMPLIANCE_AGENCY }} to direct the Company and provide support to comply with all applicable hiring and employment laws.	ALWAYS	ROLE in ('Compliance Agent', 'Human Resources Agent')	IS_FULL_AUDIT	SOC 2 Type I ref 1.1.e, SOC 2 Type II ref 1.1.e
